nodeID1,nodeID2,utilisation
1048,1048,0
1048,2490,2047
1048,8103,2007
2490,1048,2007
2490,2490,0
8103,1048,3993
8103,7445,2007
8103,8103,0
105,105,0
105,6778,3951
105,6530,0
6778,105,4031
6778,6778,0
6778,181,5957
6530,105,1975
6530,6530,0
1052,1562,3921
1052,1052,0
1052,142,0
1562,1562,0
1562,1052,0
1562,5742,2044
142,7616,0
142,1052,3949
142,142,0
1054,1817,21985
1054,3931,0
1054,7293,4108
1054,1054,0
1817,3931,54058
1817,5957,0
1817,7952,0
1817,8088,2032
1817,920,5985
1817,1817,0
1817,4443,3943
1817,1054,2039
3931,2465,0
3931,7748,16099
3931,4100,0
3931,8871,64851
3931,425,10128
3931,489,0
3931,7953,0
3931,7123,0
3931,4083,4020
3931,1817,20055
3931,7034,0
3931,3931,0
3931,667,0
3931,3870,0
3931,1823,0
7293,5478,2039
7293,1929,2069
7293,3931,0
7293,7293,0
7293,1054,21985
1055,7593,7975
1055,4643,0
1055,1055,0
1055,3895,14157
7593,7593,0
7593,4643,0
7593,1055,14117
7593,303,7975
3895,4553,10108
3895,4643,0
3895,3895,0
3895,1055,7975
1056,1056,0
1056,2153,1960
2153,1056,2077
2153,8417,6000
2153,6722,0
2153,5411,0
2153,8995,2018
2153,7394,1942
2153,2153,0
2153,2217,0
2153,2287,5998
2153,4911,8067
2153,8825,0
2153,2003,3995
2153,3540,44044
2153,884,0
2153,7641,6029
2153,7099,0
2153,4510,1970
1057,8912,1979
1057,1057,0
1057,5622,3993
8912,1057,1947
8912,3015,2012
8912,490,0
8912,8912,0
8912,6673,4021
8912,1367,3976
8912,2297,0
5622,1057,1979
5622,293,1947
5622,5622,0
1058,1058,0
1058,1942,0
1942,1880,2015
1942,1058,0
1942,1942,0
1060,1824,35887
1060,1060,0
1060,7375,26365
1824,1824,0
1824,5217,0
1824,6466,5973
1824,7555,0
1824,1060,24325
1824,455,1941
1824,1578,0
1824,2091,6094
1824,7440,8854
1824,2129,4030
1824,4180,1910
1824,5722,2090
7375,3298,28360
7375,1060,39945
7375,7375,0
1063,1242,3925
1063,1063,0
1063,6655,2031
1242,1242,0
1242,2341,3925
1242,1063,2031
6655,6655,0
6655,1063,1971
1067,6098,2033
1067,1067,0
6098,1067,0
6098,6160,8130
6098,6449,0
6098,6098,0
6098,1175,0
1068,7121,4008
1068,4643,0
1068,1068,0
1068,6094,8175
7121,5888,12142
7121,7121,0
7121,4643,0
7121,1068,8175
6094,7362,10212
6094,4643,0
6094,1068,2023
6094,6094,0
107,8448,2013
107,1922,0
107,4133,4032
107,107,0
107,575,1976
107,7438,5952
107,4625,70275
107,4885,6171
107,6233,2031
107,3003,60548
107,3551,0
8448,8448,0
8448,3474,2013
8448,107,6013
8448,3003,0
1922,1922,0
1922,107,0
1922,3003,1991
4133,4133,0
4133,107,2039
4133,3860,4032
4133,3003,0
575,107,5991
575,6788,1976
575,3003,0
575,575,0
7438,107,10170
7438,3003,0
7438,2454,8007
7438,7438,0
4625,2374,0
4625,8262,1958
4625,107,41947
4625,8269,0
4625,4625,0
4625,437,64249
4625,3003,0
4885,4885,0
4885,107,6161
4885,7051,6171
4885,3003,0
6233,6233,0
6233,107,2072
6233,3003,0
3551,107,2082
3551,3003,0
3551,5702,0
3551,3551,0
1070,7843,0
1070,1070,0
1073,1073,0
1073,5938,2048
5938,1073,0
5938,5938,0
1074,1657,0
1074,1074,0
1074,7677,1935
1657,1657,0
1657,1074,2007
1657,1494,0
7677,7677,0
7677,1074,0
7677,7189,28068
7677,1494,28143
1076,1076,0
1076,2333,2032
2333,873,8126
2333,8137,6070
2333,3404,4107
2333,7343,2041
2333,6109,0
2333,1076,2026
2333,2333,0
1077,3347,2028
1077,8795,2014
1077,5211,0
1077,1077,0
3347,8272,2028
3347,5211,0
3347,3347,0
3347,1077,4011
8795,6218,8032
8795,8795,0
8795,4315,0
8795,1077,0
8795,7607,4005
8795,8794,10127
8795,5211,26190
1078,6345,2140
1078,7643,4017
1078,1078,0
6345,6345,0
6345,3644,4182
6345,1078,3981
7643,7643,0
7643,1078,2140
108,5337,9882
108,108,0
108,6311,0
5337,5337,0
5337,2066,11898
5337,108,0
6311,108,7882
6311,2598,0
6311,6311,0
1082,1455,66266
1082,4243,34133
1082,883,4016
1082,5173,0
1082,1082,0
1082,4892,13994
1082,8351,0
1455,8238,0
1455,1082,58146
1455,6318,64270
1455,1455,0
4243,5986,2026
4243,966,7997
4243,7117,0
4243,5903,0
4243,5360,0
4243,4243,0
4243,951,21988
4243,1082,44043
4243,8604,2047
4243,8255,0
4243,223,0
883,1082,8220
883,883,0
883,7310,4016
5173,4237,2055
5173,5586,0
5173,7219,0
5173,6996,56472
5173,5173,0
5173,8373,6105
5173,1365,52425
5173,1082,2013
5173,3710,154174
5173,2463,0
4892,6720,10036
4892,5447,0
4892,6123,1972
4892,5739,0
4892,3213,0
4892,5624,0
4892,1082,13995
4892,4892,0
8351,1082,2067
8351,2135,0
8351,8351,0
1083,6057,1973
1083,1083,0
6057,6057,0
6057,1083,0
1085,4922,2033
1085,4,2029
1085,1085,0
4922,4922,0
4922,1085,2029
4922,1902,4057
4,1085,1993
4,4,0
4,885,0
4,4215,11822
1086,4801,2000
1086,3138,0
1086,1086,0
4801,1086,0
4801,4801,0
4801,8814,4057
3138,3138,0
3138,4743,2046
1087,8946,6063
1087,4643,0
1087,5413,1994
1087,1087,0
8946,8946,0
8946,4643,0
8946,5614,4011
8946,1087,1994
5413,2257,1994
5413,4643,0
5413,5413,0
5413,1087,4011
1088,1088,0
1088,5234,0
1088,4694,0
1088,1498,6093
1088,3711,0
5234,1088,0
5234,4385,2083
5234,5234,0
4694,1088,2085
4694,4694,0
4694,8223,2023
1498,1088,0
1498,4385,36499
1498,8833,0
1498,1508,171383
1498,174,1988
1498,1498,0
3711,1088,4008
3711,7083,0
3711,3711,0
