nodeID,in,out
1588,15897,17859
1589,1888,2079
159,2116,2027
1590,2009,2002
1591,2068,0
1592,4027,6030
1593,6018,8109
1598,0,1940
1599,4109,2069
160,11980,13935
1600,0,1993
1601,1983,4055
1602,2032,1921
1603,4063,4063
1605,2070,2011
1606,15929,15939
1608,2041,1931
1615,4015,4019
1618,2044,1951
1621,26489,22371
1628,1969,1926
1629,4057,6105
163,0,2066
1633,2042,2084
1636,0,1984
1637,8123,1984
1639,0,1983
164,7989,9972
1640,2056,1963
1641,21942,24026
1643,12003,14016
1644,0,0
1646,8078,10060
1648,0,2036
1650,4125,4099
1651,9958,8048
1652,22267,22181
1653,60390,52594
1657,0,2007
1659,4009,6056
166,4061,6176
1660,2054,4036
1662,8103,10138
1663,0,2010
1664,52129,42189
1665,5874,7856
1666,2020,2045
1669,4071,4049
1673,0,1969
1674,0,1964
1677,24104,30205
1678,1920,3988
1679,10011,10023
168,32227,32142
1680,4001,3926
1681,16171,14234
1684,11934,9983
1689,2046,3941
1692,0,4071
1694,7936,7905
1695,7856,9848
1697,0,2080
1698,80555,80544
1699,3966,1998
17,0,1954
1701,4007,6025
1702,9982,11905
1705,6012,8087
1706,14048,14039
1707,36402,36506
1709,2040,2061
171,6001,4015
1710,16089,14142
1714,54421,54491
1715,1983,1991
1717,0,0
1718,4125,6136
1720,22085,22075
1721,12119,10015
1723,38342,40380
1724,14130,16111
1725,4055,1983
1726,1969,2023
1727,4013,3969
1729,0,836
1730,0,1954
1732,4001,1950
1733,12062,11980
1735,1995,1995
1736,2018,2018
1737,6089,8093
174,6022,6787
1743,8097,8097
1744,11875,13935
1745,16188,16091
1746,2148,1986
1748,1904,2055
1751,3927,5821
1752,2065,2010
1754,2085,2085
1755,6060,1978
1756,1871,0
1758,2016,1956
1761,0,2024
1762,8045,8045
1764,6136,6120
1766,0,1957
1771,2076,2047
1773,9972,11957
1774,4027,4002
1777,6196,8243
1778,4196,1987
1779,7891,15678
178,2077,0
1780,237560,233500
1783,13883,11842
1784,2002,1973
1786,0,2062
1789,1986,1986
179,1971,1971
1790,10013,12074
1791,9985,8804
1792,18091,18038
1793,6072,6008
1794,0,0
1796,10085,12142
1797,15007,13046
1798,91225,83093
18,5900,3956
1800,2005,1989
1801,19890,19866
1803,10234,1986
1806,10271,8191
1808,72498,70395
181,9988,11971
1810,3977,2121
1811,27535,25497
1815,0,0
1816,70319,56285
1817,72088,68057
1818,0,2088
1821,7986,9957
1822,0,0
1823,11974,14076
1824,62219,55217
1825,24405,24241
1826,4175,4029
183,0,2032
1830,6061,4000
1831,4028,6018
1832,6027,8016
1833,14315,16359
1835,9931,11918
1837,1923,1971
184,100584,102552
1841,6059,8106
1842,104585,108657
1843,9870,11846
1844,4048,6079
1848,10088,10087
1849,10092,10098
1850,2063,4095
1851,115239,117228
1855,2053,0
1860,15940,17959
1861,34133,34133
1862,2045,8109
1863,1994,3995
1864,5978,5917
1866,8045,10093
1867,4068,6033
1868,0,2061
1869,22155,12119
1871,2039,1991
1872,145375,141347
1875,10026,12046
1878,4031,6068
1879,1986,1994
188,4026,5993
1880,2015,1990
1881,18179,16147
1886,1924,1924
1887,0,1978
1888,8941,8853
1889,28930,26914
1890,8161,4108
1892,4035,4088
1893,8186,5920
1894,6102,4085
1895,237446,227310
19,2019,2033
190,4097,6102
1901,4099,1972
1902,6086,6140
1903,11941,11871
1904,5950,5950
1907,9940,11938
1909,4034,2054
191,1973,0
1910,2028,2060
1914,2047,4068
1915,0,7960
1918,10064,12116
1919,1979,2070
192,44129,42153
1922,0,1991
1923,5983,6064
1925,3922,5958
1926,0,0
1928,3960,5949
1929,8086,10088
193,4096,4105
1931,18042,20097
1935,102546,102667
1938,10017,6051
1939,8046,9911
1940,53823,53622
1942,1990,2015
1944,8080,4047
1946,5967,3993
1949,1937,1937
195,6113,6058
1951,0,2007
1956,2001,2049
1957,1986,2020
1958,0,1999
1959,1981,4000
1962,2008,2013
1964,2052,4117
1966,8068,6134
1967,1977,2001
1968,11986,11959
1969,1969,3920
197,3915,3922
1971,10235,4091
1973,16016,7983
1974,8210,10191
1975,10056,12060
1978,21149,21233
1982,0,2009
1984,0,0
1986,0,2118
199,0,2052
1990,0,1980
1991,4056,1982
1992,4052,4052
1993,1983,0
1997,4078,4006
1999,4083,1938
2,12220,9986
20,8087,10090
200,12103,14210
2002,0,2001
2003,36256,32995
2006,10032,10100
2007,12173,20114
2008,4037,2031
2009,2103,4118
2011,2003,4007
2012,1906,3913
2014,4019,4012
2017,0,1986
2023,2079,4097
2024,2057,4009
2026,8060,2084
2027,14017,12082
2029,9983,12075
203,6150,2033
2030,2036,1997
2038,0,0
2039,3917,2074
2041,20200,20095
2042,0,1990
205,6094,8148
2050,1979,3943
2053,0,1997
2054,10038,12111
2055,44263,44263
2056,2002,2011
2058,14047,14104
2060,6038,4133
2061,0,2015
2062,12090,12003
2063,14248,16339
2064,4061,3969
2065,13983,15933
2066,11898,19860
2068,8211,16176
207,76594,72607
2070,2009,2039
2073,8105,10158
2075,18477,20386
2078,2050,0
2079,8019,8015
208,8229,8213
2081,6099,6115
2083,96487,78663
2084,95329,95377
2086,3874,4097
2087,157563,161596
2089,8140,10114
209,50889,42892
2090,10041,12041
2091,8125,6052
2092,0,8054
2097,2060,0
2098,5950,7928
2099,10054,2064
21,6102,8108
210,7896,7936
2100,28850,28933
2101,12020,12117
2102,2031,1992
2103,5958,5910
2108,9876,5886
2110,0,2035
2113,8037,8013
2114,0,1971
2115,0,2061
2116,11965,11934
2118,1915,3990
2119,0,2057
212,0,0
2121,0,1981
2122,0,2046
2125,0,2021
2127,0,1990
2129,7979,7974
2132,4084,4039
2134,12162,8179
2135,0,2067
2136,12086,14068
2137,2020,1894
214,0,0
2142,10107,8042
2143,0,1921
2144,46095,46044
2146,6031,8031
2147,6003,7961
2148,8117,3993
2149,2023,2017
2150,5964,8063
2151,0,2009
2152,0,1958
2153,100246,82140
2154,141588,129447
2155,12005,5997
2157,15974,10015
216,14110,16076
2160,13988,12027
2161,4034,4034
2164,8152,8137
2165,4027,4001
2169,10141,12118
2170,1941,0
2171,26639,20434
2172,14096,14119
2176,0,1976
2178,5950,5908
2179,6048,8103
218,5940,3971
2180,0,1972
2182,10071,8089
2183,3977,6022
2185,5961,4001
2186,2018,0
2188,14224,14126
2189,0,2041
2195,62160,58209
2196,8529,6552
2199,16043,10042
22,7873,8041
220,4116,4038
2201,3957,3975
2202,3964,6073
2203,6057,8034
2205,4125,6185
2209,6138,4087
2211,7959,9891
2213,1957,2072
2214,2013,0
2216,42035,40041
2217,3949,3984
222,4000,5956
2222,18130,12211
2223,2000,1960
2227,6035,8053
2228,16292,18267
223,2024,4016
2230,8107,8131
2238,18126,16023
224,16075,16075
2242,12059,9984
2244,6056,6037
2245,6135,8110
2246,4064,1983
2247,0,0
2249,12038,10004
2253,9952,10049
2254,0,7999
2255,4076,1989
2257,4008,4008
