total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
8,128,5238,1000000000,model defined,10000001,16,10000016,39.038,67090947,0,15272163,0,70.53,0,0,12264603,23.67,740532,722709,17823,262376,32797,51818784,1327393.99,18748,10000017,11657306,143,24961685,24961685,3888,960,960,144,80,1184,976,1176,62.6061,7.7428,17.1575,0,0,26.2497,0.6425,0,49.2159,8.5743,30.5425,22.9733,35.5458,0,0,81.7795
8,128,5238,1000000000,model defined,10000001,16,10000016,39.2362,67090806,0,15272022,0,70.53,0,0,12264603,23.67,735995,718268,17727,262376,32797,51818784,1320688.64,18422,10000017,11657306,143,24965867,24965867,3888,960,960,144,80,1184,976,1176,62.299,7.845,17.3103,0,0,26.2823,0.6474,0,48.7383,8.7039,30.7012,22.8892,35.698,0,0,82.1947
8,128,5238,1000000000,model defined,10000001,16,10000016,39.1639,67091115,0,15272331,0,70.53,0,0,12264603,23.67,735983,718047,17936,262376,32797,51818784,1323127.33,18365,10000017,11657306,143,24959505,24959505,3888,960,960,144,80,1184,976,1176,62.4409,7.7989,17.2428,0,0,26.364,0.6433,0,48.9796,8.5905,30.6568,22.7595,35.6592,0,0,82.0432
8,128,5238,1000000000,model defined,10000001,16,10000016,39.4048,67090748,0,15271964,0,70.53,0,0,12264603,23.67,739449,721591,17858,262376,32797,51818784,1315037.99,18460,10000017,11657306,143,24959455,24959455,3888,960,960,144,80,1184,976,1176,63.051,7.8506,17.2149,0,0,26.4267,0.6491,0,49.4453,8.6201,30.7923,23.0312,35.775,0,0,82.5479
16,256,5238,1000000000,model defined,10000001,16,10000016,31.9521,74875426,0,23056642,0,55.51,0,0,19096644,36.85,1042153,882273,159880,293168,18323,51818784,1621763.46,23298,10000017,11656933,517,38593798,38593798,3888,960,960,24,80,1064,976,1176,60.2104,4.8331,13.2642,0,0,16.3862,1.732,0,47.1987,5.2304,13.4155,19.0771,28.8657,0,0,66.9356
16,256,5238,1000000000,model defined,10000001,16,10000016,31.9582,74876116,0,23057332,0,55.5,0,0,19096644,36.85,1034665,874080,160585,293168,18323,51818784,1621456.04,23036,10000017,11656933,517,38587710,38587710,3888,960,960,24,80,1064,976,1176,61.3333,4.7994,13.2382,0,0,16.2416,1.7302,0,46.8603,5.3717,13.831,19.0134,29.2836,0,0,66.9483
16,256,5238,1000000000,model defined,10000001,16,10000016,31.9167,74875678,0,23056894,0,55.5,0,0,19096644,36.85,1036405,876471,159934,293168,18323,51818784,1623561.61,23439,10000017,11656933,517,38591230,38591230,3888,960,960,24,80,1064,976,1176,60.5797,4.7658,13.2828,0,0,16.059,1.721,0,46.704,5.3221,13.6105,19.0769,28.804,0,0,66.8615
16,256,5238,1000000000,model defined,10000001,16,10000016,32.1351,74877201,0,23058417,0,55.5,0,0,19096644,36.85,1027923,868412,159511,293168,18323,51818784,1612531.41,23524,10000017,11656933,517,38599040,38599040,3888,960,960,24,80,1064,976,1176,61.4456,4.8187,13.3689,0,0,16.3539,1.7334,0,47.3104,5.3984,14.1542,19.2275,29.318,0,0,67.3188
16,256,5238,1000000000,model defined,10000001,16,10000016,31.7701,74875509,0,23056725,0,55.51,0,0,19096644,36.85,1040054,881161,158893,293168,18323,51818784,1631057.37,23355,10000017,11656933,517,38595232,38595232,3888,960,960,24,80,1064,976,1176,60.5604,4.7994,13.2505,0,0,16.2543,1.7681,0,46.6707,5.2424,13.5237,19.0405,28.8948,0,0,66.5542
29,464,5238,1000000000,model defined,10000001,16,10000016,52.7896,109033399,0,57214615,0,-10.41,0,0,23451623,45.26,1034847,835780,199067,441960,15240,51818784,981609.77,29090,10000017,11533714,343,91947227,91947227,3888,960,960,144,80,1184,976,1176,46.6887,7.2211,26.3009,0,0,14.9796,5.409,0,110.2576,4.6975,36.2992,47.8024,43.1869,0,0,110.5874
29,464,5238,1000000000,model defined,10000001,16,10000016,53.4641,109034064,0,57215280,0,-10.41,0,0,23451623,45.26,1031894,833836,198058,441960,15240,51818784,969225.2,28579,10000017,11533714,343,91948517,91948517,3888,960,960,144,80,1184,976,1176,46.7068,7.3033,26.5468,0,0,14.98,5.2059,0,111.671,4.7606,36.5983,47.9043,43.5116,0,0,112.0005
29,464,5238,1000000000,model defined,10000001,16,10000016,54.5767,109029921,0,57211137,0,-10.41,0,0,23451623,45.26,1028196,829335,198861,441960,15240,51818784,949467.41,29149,10000017,11533714,343,91940153,91940153,3888,960,960,144,80,1184,976,1176,46.5921,7.3877,26.573,0,0,15.5231,5.2562,0,113.9866,4.8028,36.7841,48.03,43.8371,0,0,114.3312
29,464,5238,1000000000,model defined,10000001,16,10000016,53.4349,109030641,0,57211857,0,-10.41,0,0,23451623,45.26,1028954,830614,198340,441960,15240,51818784,969755.28,29290,10000017,11533714,343,91944405,91944405,3888,960,960,144,80,1184,976,1176,46.0436,7.2679,26.3673,0,0,14.9879,5.0369,0,111.6116,4.7059,36.1752,48.4499,43.1535,0,0,111.9393
29,464,5238,1000000000,model defined,10000001,16,10000016,54.2,109035393,0,57216609,0,-10.42,0,0,23451623,45.26,1032091,834336,197755,441960,15240,51818784,956066.14,29844,10000017,11533714,343,91939383,91939383,3888,960,960,144,80,1184,976,1176,47.1525,7.3191,26.5068,0,0,15.305,5.3733,0,113.2071,4.6983,36.509,47.9331,43.5449,0,0,113.5426
57,912,5238,1000000000,model defined,10000001,16,10000016,80.611,183608911,0,131790127,0,-154.33,0,0,28457214,54.92,2078484,1321245,757239,832998,14614,51818784,642825.19,35231,10000017,11533657,400,199556770,199556770,3888,960,960,144,80,1184,976,1176,40.8618,6.5245,37.7427,0,0,13.8387,15.7116,0,168.7792,4.9203,46.7002,38.0084,48.9059,0,0,168.8719
57,912,5238,1000000000,model defined,10000001,16,10000016,80.9556,183618517,0,131799733,0,-154.35,0,0,28457214,54.92,2082023,1324330,757693,833055,14615,51818784,640089.33,35773,10000017,11533657,400,199626594,199626594,3888,960,960,144,80,1184,976,1176,40.2971,6.5522,37.7298,0,0,13.5924,15.1938,0,169.4997,4.8736,46.0383,37.6662,49.4878,0,0,169.5938
57,912,5238,1000000000,model defined,10000001,16,10000016,81.4583,183609450,0,131790666,0,-154.33,0,0,28457214,54.92,2081799,1318439,763360,833055,14615,51818784,636138.83,37849,10000017,11533657,400,199544910,199544910,3888,960,960,144,80,1184,976,1176,39.8306,6.5316,37.9337,0,0,13.7178,15.4853,0,170.5479,4.9233,45.4467,37.9678,48.4176,0,0,170.6408
57,912,5238,1000000000,model defined,10000001,16,10000016,81.4504,183615668,0,131796884,0,-154.34,0,0,28457214,54.92,2073955,1319306,754649,832998,14614,51818784,636200.42,35978,10000017,11533657,400,199626874,199626874,3888,960,960,144,80,1184,976,1176,40.1144,6.539,38.1809,0,0,13.7283,15.2794,0,170.5316,4.9586,44.9101,38.0425,48.0947,0,0,170.6277
57,912,5238,1000000000,model defined,10000001,16,10000016,81.5407,183614511,0,131795727,0,-154.34,0,0,28457214,54.92,2078227,1321534,756693,833055,14615,51818784,635496.03,36997,10000017,11533657,400,199593442,199593442,3888,960,960,144,80,1184,976,1176,39.8431,6.6095,38.1066,0,0,13.6971,15.5882,0,170.7238,4.9303,46.1754,38.0158,48.7308,0,0,170.8174
