total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
8,128,5238,1000000000,model defined,10000001,16,10000016,38.6215,67050481,0,15231697,0,70.61,0,0,15511034,29.93,828372,788339,40033,262184,32773,51818784,1341707.32,19471,10000017,11657653,308,28692614,28692614,3888,960,960,144,80,1184,976,1176,61.3427,6.843,14.0349,0,0,25.8355,2.3724,0,37.7503,8.6741,16.6189,24.247,33.1473,0,0,80.907
16,256,5238,1000000000,model defined,10000001,16,10000016,28.9997,74535073,0,22716289,0,56.16,0,0,20507438,39.58,825001,765666,59335,291344,18209,51818784,1786875.14,18337,10000017,11533941,116,40968424,40968424,3888,960,960,144,80,1184,976,1176,60.3913,4.836,13.6663,0,0,15.6952,1.2194,0,37.818,5.5643,18.63,13.6247,29.8897,0,0,60.7505
16,256,5238,1000000000,model defined,10000001,16,10000016,29.1243,74534484,0,22715700,0,56.16,0,0,20507438,39.58,823428,763866,59562,291344,18209,51818784,1779230.8,18353,10000017,11533941,116,40969322,40969322,3888,960,960,144,80,1184,976,1176,60.204,4.8712,13.6754,0,0,15.7027,1.2491,0,38.3767,5.6222,18.813,13.7079,29.8845,0,0,61.0115
16,256,5238,1000000000,model defined,10000001,16,10000016,29.2228,74535496,0,22716712,0,56.16,0,0,20507438,39.58,825749,766702,59047,291344,18209,51818784,1773233.92,19075,10000017,11533941,116,40968428,40968428,3888,960,960,144,80,1184,976,1176,60.907,4.8405,13.6328,0,0,16.014,1.1905,0,38.5798,5.5841,18.4584,13.6936,30.0604,0,0,61.2179
16,256,5238,1000000000,model defined,10000001,16,10000016,28.9994,74534674,0,22715890,0,56.16,0,0,20507438,39.58,818842,759657,59185,291344,18209,51818784,1786894.12,18598,10000017,11533941,116,40963090,40963090,3888,960,960,144,80,1184,976,1176,60.8703,4.8771,13.6575,0,0,15.8571,1.2084,0,38.0347,5.5973,18.4487,13.7443,29.9579,0,0,60.7499
20,320,5238,1000000000,model defined,10000001,16,10000016,37.0547,81088471,0,29269687,0,43.52,0,0,23315628,44.99,695199,569651,125548,317080,15854,51818784,1398439.31,20617,10000017,11533573,484,56283046,56283046,3888,960,960,144,80,1184,976,1176,66.8429,4.712,18.0273,0,0,16.8693,5.6007,0,55.6267,4.7632,24.1908,20.9667,33.7126,0,0,77.6254
20,320,5238,1000000000,model defined,10000001,16,10000016,35.0848,81088774,0,29269990,0,43.51,0,0,23315628,44.99,698050,570915,127135,317080,15854,51818784,1476956.63,20299,10000017,11533573,484,56286648,56286648,3888,960,960,144,80,1184,976,1176,71.2186,4.6973,18.2806,0,0,15.7405,5.6487,0,51.6447,4.8022,24.0088,20.2184,33.7818,0,0,73.4988
20,320,5238,1000000000,model defined,10000001,16,10000016,34.4655,81088883,0,29270099,0,43.51,0,0,23315628,44.99,709052,583696,125356,317060,15853,51818784,1503496.45,20259,10000017,11533573,484,56297254,56297254,3888,960,960,144,80,1184,976,1176,70.1377,4.6814,18.0323,0,0,15.7833,5.5824,0,51.0647,4.782,23.4855,20.146,33.0445,0,0,72.2013
20,320,5238,1000000000,model defined,10000001,16,10000016,34.9343,81088908,0,29270124,0,43.51,0,0,23315628,44.99,705845,581271,124574,317060,15853,51818784,1483319.69,19965,10000017,11533573,484,56296938,56296938,3888,960,960,144,80,1184,976,1176,66.9255,4.7592,18.3365,0,0,15.8124,5.4418,0,52.018,4.8994,23.92,20.6183,31.5069,0,0,73.1834
20,320,5238,1000000000,model defined,10000001,16,10000016,34.8283,81088375,0,29269591,0,43.52,0,0,23315628,44.99,704423,577676,126747,317080,15854,51818784,1487834.43,20672,10000017,11533573,484,56292474,56292474,3888,960,960,144,80,1184,976,1176,66.5993,4.6409,17.8528,0,0,15.8292,5.6211,0,51.9202,4.8085,23.2372,19.921,31.3037,0,0,72.9613
