total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
8,128,5238,1000000000,model defined,10000001,16,10000016,23.0843,53721863,0,1903079,0,96.33,0,0,16990061,32.79,294663,293539,1124,209992,26249,51818784,2244760.92,17491,10000017,11656975,474,18401023,18401023,3888,960,960,144,80,1184,976,1176,62.6429,5.8731,8.602,0,0,20.5366,0.1494,0,16.7903,7.9723,3.1461,12.7799,29.1841,0,0,48.3586
8,128,5238,1000000000,model defined,10000001,16,10000016,22.993,53722037,0,1903253,0,96.33,0,0,16990061,32.79,294552,293438,1114,209992,26249,51818784,2253681.02,17438,10000017,11656975,474,18400533,18400533,3888,960,960,144,80,1184,976,1176,62.7733,5.8046,8.5701,0,0,20.4079,0.1471,0,17.0994,7.8431,3.1725,12.8355,29.1617,0,0,48.1672
8,128,5238,1000000000,model defined,10000001,16,10000016,23.0902,53722034,0,1903250,0,96.33,0,0,16990061,32.79,294862,293755,1107,209992,26249,51818784,2244189.48,17459,10000017,11656975,474,18400271,18400271,3888,960,960,144,80,1184,976,1176,62.8728,5.7773,8.5945,0,0,20.4591,0.1487,0,16.8704,7.8639,3.1688,12.69,29.2457,0,0,48.371
8,128,5238,1000000000,model defined,10000001,16,10000016,23.2283,53722281,0,1903497,0,96.33,0,0,16990061,32.79,293314,292152,1162,209992,26249,51818784,2230842.32,17546,10000017,11656975,474,18399421,18399421,3888,960,960,144,80,1184,976,1176,63.3459,5.8281,8.6451,0,0,20.6888,0.1486,0,17.5791,7.8843,3.0731,12.9303,29.1701,0,0,48.6604
16,256,5238,1000000000,model defined,10000001,16,10000016,17.0806,54899710,0,3080926,0,94.05,0,0,20751586,40.05,254089,232113,21976,214832,13427,51818784,3033777.59,17616,10000017,11533920,137,24032740,24032740,3888,960,960,144,80,1184,976,1176,60.2037,3.0537,6.8587,0,0,11.0277,0.5722,0,19.5193,4.8344,4.7928,8.3611,28.634,0,0,35.7817
16,256,5238,1000000000,model defined,10000001,16,10000016,17.0474,54899675,0,3080891,0,94.05,0,0,20751586,40.05,256450,234392,22058,214816,13426,51818784,3039686.44,17777,10000017,11533920,137,24030140,24030140,3888,960,960,144,80,1184,976,1176,60.1911,3.0477,6.8796,0,0,11.0349,0.5721,0,19.3368,4.8712,4.842,8.2613,28.4433,0,0,35.7121
16,256,5238,1000000000,model defined,10000001,16,10000016,16.8385,54899157,0,3080373,0,94.06,0,0,20751586,40.05,256530,234403,22127,214832,13427,51818784,3077396.13,17232,10000017,11533920,137,24032226,24032226,3888,960,960,144,80,1184,976,1176,60.197,3.0707,6.903,0,0,10.9606,0.5908,0,19.0264,4.8977,4.7336,8.3289,28.7519,0,0,35.2745
16,256,5238,1000000000,model defined,10000001,16,10000016,16.8813,54899332,0,3080548,0,94.06,0,0,20751586,40.05,254301,232383,21918,214832,13427,51818784,3069602.59,17764,10000017,11533920,137,24031038,24031038,3888,960,960,144,80,1184,976,1176,60.4003,3.0708,6.8705,0,0,10.9274,0.5658,0,19.3251,4.8517,4.7701,8.2536,28.6478,0,0,35.3641
16,256,5238,1000000000,model defined,10000001,16,10000016,17.0319,54898091,0,3079307,0,94.06,0,0,20751586,40.05,255554,233726,21828,214832,13427,51818784,3042449.51,17336,10000017,11533920,137,24031844,24031844,3888,960,960,144,80,1184,976,1176,60.2637,3.0844,6.8694,0,0,11.0113,0.5839,0,19.5658,4.9065,4.7753,8.3361,28.6894,0,0,35.6797
29,464,5238,1000000000,model defined,10000001,16,10000016,43.4733,98185759,0,46366975,0,10.52,0,0,24521592,47.32,913354,641870,271484,385091,13279,51818784,1191967.6,23274,10000017,11533796,262,80483354,80483354,3888,960,960,144,80,1184,976,1176,48.3219,5.189,22.2123,0,0,11.7149,12.3263,0,75.1669,4.2996,18.0719,31.775,24.2673,0,0,91.0718
29,464,5238,1000000000,model defined,10000001,16,10000016,44.1714,98182505,0,46363721,0,10.53,0,0,24521592,47.32,913137,642015,271122,385091,13279,51818784,1173130.24,23059,10000017,11533796,262,80490728,80490728,3888,960,960,144,80,1184,976,1176,47.4056,5.17,22.2556,0,0,11.6207,12.3698,0,76.6428,4.2837,17.938,31.7666,24.1144,0,0,92.534
29,464,5238,1000000000,model defined,10000001,16,10000016,44.344,98186782,0,46367998,0,10.52,0,0,24521592,47.32,911846,642096,269750,385091,13279,51818784,1168562.7,23776,10000017,11533796,262,80474160,80474160,3888,960,960,144,80,1184,976,1176,48.0508,5.2495,22.2649,0,0,11.7329,12.4482,0,76.9303,4.2476,17.9742,31.8652,24.2162,0,0,92.8958
29,464,5238,1000000000,model defined,10000001,16,10000016,43.926,98186657,0,46367873,0,10.52,0,0,24521592,47.32,913515,644688,268827,385091,13279,51818784,1179684.27,23529,10000017,11533796,262,80474462,80474462,3888,960,960,144,80,1184,976,1176,47.9445,5.1754,22.1145,0,0,11.616,12.5395,0,76.0522,4.2628,18.0625,31.3812,24.1705,0,0,92.02
29,464,5238,1000000000,model defined,10000001,16,10000016,43.4952,98191107,0,46372323,0,10.51,0,0,24521592,47.32,912835,642431,270404,385091,13279,51818784,1191367.05,23156,10000017,11533796,262,80492194,80492194,3888,960,960,144,80,1184,976,1176,47.6819,5.2145,22.1114,0,0,11.7506,12.2093,0,75.2809,4.3202,17.9538,31.7691,24.1216,0,0,91.1158
56,896,5238,1000000000,model defined,10000001,16,10000016,83.0389,179731842,0,127913058,0,-146.85,0,0,28753383,55.49,1728432,1189418,539014,747432,13347,51818784,624030.45,34676,10000017,11533672,385,204230179,204230179,3888,960,960,144,80,1184,976,1176,41.0128,9.3079,39.9958,0,0,13.7542,19.3259,0,173.7951,4.4211,43.1242,47.2351,51.505,0,0,173.9545
56,896,5238,1000000000,model defined,10000001,16,10000016,82.5915,179726990,0,127908206,0,-146.84,0,0,28753383,55.49,1717094,1182753,534341,747432,13347,51818784,627410.41,35342,10000017,11533672,385,204212353,204212353,3888,960,960,144,80,1184,976,1176,41.8442,9.2669,39.982,0,0,13.5867,19.2529,0,172.8416,4.4216,43.4038,47.1677,50.8194,0,0,173.0178
56,896,5238,1000000000,model defined,10000001,16,10000016,82.859,179736171,0,127917387,0,-146.86,0,0,28753383,55.49,1722367,1186889,535478,747432,13347,51818784,625385.22,34710,10000017,11533672,385,204243471,204243471,3888,960,960,144,80,1184,976,1176,41.0945,9.3154,39.9537,0,0,13.6469,19.1473,0,173.4193,4.3916,43.6815,47.2173,51.3977,0,0,173.5784
56,896,5238,1000000000,model defined,10000001,16,10000016,81.6942,179728536,0,127909752,0,-146.84,0,0,28753383,55.49,1723902,1187889,536013,747432,13347,51818784,634301.9,35150,10000017,11533672,385,204218923,204218923,3888,960,960,144,80,1184,976,1176,40.9431,9.2394,39.5828,0,0,13.5421,19.279,0,170.979,4.3258,43.0092,46.7044,50.6445,0,0,171.1386
56,896,5238,1000000000,model defined,10000001,16,10000016,82.9723,179720436,0,127901652,0,-146.82,0,0,28753383,55.49,1723189,1186194,536995,747432,13347,51818784,624531.28,35333,10000017,11533672,385,204257227,204257227,3888,960,960,144,80,1184,976,1176,40.6489,9.3523,39.9065,0,0,13.7758,19.3366,0,173.6562,4.4147,43.5171,47.2912,51.0906,0,0,173.8163
